threads,dyntrace,stdev,dyntrace-ee,stdev,none,stdev
1,53677544.87,891879.2346408229,53485102.44,960015.532701685,53712474.58,1157259.3395929022
2,54678481.895,199908.30136590125,54638448.9,183609.93694786783,54933253.585,406886.4769023419
4,55017034.385,643696.4634231728,54829488.02,436454.4322068456,56719560.37,2824530.632694041
8,57712289.00875,1545809.3875814702,57930487.93875,1600845.9883116488,63061180.275,5834171.677645208
